"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"true_peak_wait[1648]",2.999235586125,2.934395,0.751718425877231,0.639045078,1.884964,4.3021835,1.00012060891455,6106.90962653558,6538.87557213474
"true_peak_wait[1649]",2.7114972165,2.66867,0.716451285363353,0.640446135,1.6562615,3.9346935,1.00127703713648,3229.42811480014,5180.22516302652
"true_peak_wait[1650]",1.19480079551125,1.12687,0.70417692258657,0.801678885,0.17099415,2.451712,1.00096189545684,10274.9584729872,4906.65529575741
"true_peak_wait[1651]",1.04030628683812,0.9477965,0.658364651049943,0.7094737671,0.1457223,2.2896335,1.00044773990049,10532.1672177459,5455.14307432366
"true_peak_wait[1652]",1.5430082110375,1.54404,0.647826483666648,0.747111792,0.47940305,2.5938565,1.00062590213873,10835.5609494909,5192.85192063554
"true_peak_wait[1653]",2.8771255925,2.835115,0.905829100258491,1.09467771,1.490427,4.3693885,1.00054664928833,10419.1895157394,5673.77150686418
"true_peak_wait[1654]",2.311659352125,2.291615,0.829161750492218,0.869485596,0.9755856,3.708989,1.00350063564847,3719.47087564674,4992.73434080723
"true_peak_wait[1655]",2.037743106125,2.006935,0.745042732563615,0.765777726,0.85822875,3.3299105,1.00079058125855,5198.16524604939,4964.93318352914
"true_peak_wait[1656]",1.083104973815,1.00371,0.672611186299006,0.7474431531,0.14532905,2.314541,1.00075740475099,10936.0506783778,5278.90706694274
"true_peak_wait[1657]",0.94556340320125,0.8356775,0.630858072137067,0.6707964396,0.1131439,2.1477865,1.0015774400042,11767.9298313854,5446.01427884786
"true_peak_wait[1658]",1.559302736037,1.37534,1.09965439044937,1.1778849285,0.12819085,3.6284045,0.999915836037233,8899.6011981001,4272.7217568243
"true_peak_wait[1659]",9966.26921375,9966.16,6.97856067595243,8.95490400000129,9955.51,9977.14,1.00089269030587,12866.6077405844,4616.88184841907
"true_peak_wait[1660]",2.962070820625,2.918445,0.699085650026683,0.638288952,1.887572,4.2287045,1.00201336487493,5901.32756641664,5147.54397212055
"true_peak_wait[1661]",2.70151578375,2.662345,0.69830324345226,0.651758373,1.6327435,3.9465435,1.00076328713971,4167.86113485695,4266.16733760316
"true_peak_wait[1662]",1.15465419369125,1.083945,0.693753943867234,0.7932347367,0.1563763,2.39689,1.00090628610905,9846.60488571506,4556.29704451132
"true_peak_wait[1663]",1.05814684333125,0.966154,0.654272044166891,0.7047568752,0.15602425,2.2975465,0.999979462464569,10899.4891092185,4458.76996934962
"true_peak_wait[1664]",6.53621278375,6.2703,1.87522053261692,1.911404985,3.9684515,10.050415,0.999880852310786,10845.4380270793,5742.85440055763
"true_peak_wait[1665]",9966.36428875,9966.325,6.8518687602224,8.79923099999924,9955.6795,9977.06,1.00052856300416,10982.8031657007,4674.51817998566
"true_peak_wait[1666]",3.117041099875,3.060585,0.712722991619707,0.647792418,2.041225,4.4140005,1.00054954106289,5218.57030831927,6324.1653757767
"true_peak_wait[1667]",2.81065183225,2.776705,0.670928152786751,0.608807451,1.771605,4.020633,1.00092760239572,4494.99069127824,5097.79552013482
"true_peak_wait[1668]",0.881166004525,0.861955,0.473745351863287,0.5633798457,0.1499627,1.6818335,1.00309690850392,11206.4277696074,5424.6924680925
"true_peak_wait[1669]",0.7993483729255,0.72847,0.505637224939043,0.5274579303,0.117748,1.748702,1.00092469251576,10099.021111446,4914.95837807191
"true_peak_wait[1670]",9966.09351375,9965.965,7.03829937366406,9.21435900000021,9955.4,9977.1705,1.00144161282866,10950.2876194226,5022.64795244874
"true_peak_wait[1671]",9966.30958625,9966.31,6.97093267282806,9.02903400000022,9955.45,9977.11,1.00096534632353,12004.3816481922,4734.21454577376
"true_peak_wait[1672]",2.98621628225,2.93561,0.701328368222111,0.637451283,1.90258,4.242892,1.00027695844945,6871.38914684745,6297.75103215838
"true_peak_wait[1673]",3.923780221625,3.66422,1.5471523857481,1.397780454,1.967857,6.8073995,1.00120928568847,1581.15159753939,4071.7983799214
"true_peak_wait[1674]",2.2796709475,2.3092,0.705430011982533,0.783583752,1.082753,3.3898395,1.00028856315846,7806.35128530956,5186.41138381501
"true_peak_wait[1675]",1.88501735525,1.852265,0.594646650821705,0.634219215,0.9766474,2.928558,1.00068074859212,8132.1062195094,5680.19878172729
"true_peak_wait[1676]",1.8018635232125,1.696315,0.825429242271471,0.913096275,0.60923825,3.258295,1.00131015916357,11491.8134462078,5468.24249656202
"true_peak_wait[1677]",1.11255747330875,1.025985,0.682676346378091,0.76398378,0.14852485,2.3430215,1.00131612643927,10033.5417466892,4570.46146686463
"true_peak_wait[1678]",2.317651605875,2.337845,0.702157086525454,0.774080286,1.1299355,3.431451,1.00019305315787,6959.39502301919,5417.91275023628
"true_peak_wait[1679]",2.26579946,2.207575,0.504656936964571,0.470547588,1.531216,3.1890425,1.00020812105514,6439.10726141453,5426.55218516808
"true_peak_wait[1680]",2.342164553875,2.368115,0.682868828635575,0.760862907,1.182819,3.417531,1.00146549389129,7268.97604783818,5309.56555699856
"true_peak_wait[1681]",1.935381119625,1.907845,0.604983368579491,0.635205144,0.97499365,2.990657,1.00120583191373,7754.47799853489,4191.56601953952
"true_peak_wait[1682]",1.747130194175,1.624715,0.822796625329175,0.881746698,0.582896,3.2546365,1.00100460486389,11383.1756022622,4973.46508872778
